,release_date,artist,title,album,lyrics
21,2017-09-21,Népal,Maladavexa,445e Nuit,"[Paroles de ""Maladavexa""]

[Refrain]
Le biff, j’suis malade avec ça
Les tche-bi, j’suis malade avec ça
Le genre qu’t’as du mal à vexer
J’suis pas solo dans ma te-té, j’suis malade avec ça
Le biff, j’suis malade avec ça
Les tche-bi, j’suis malade avec ça
Le genre qu’t’as du mal a vexer
J’suis pas solo ds ma te-té; j’suis malade avec ça
Malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça
Malade avec..

[Couplet 1]
Compare pas Lecce avec le AC Milan (jamais)
On va pas parler mille ans
Certains vont à La Mecque, d’autres à Las Vegas
Nous on est fonce-dé quand on s’rend à l’évidence
J’vois qu’des entrées qui n’offrent aucune résistance
Quelques gars hésitants et des camés silencieux
Agressif ? Nan vieux, j’ai plus 18 ans
Go c’est bandant d’être au cœur quand t’arrives à garder tes distances
Avec ça
Nan, c’est pas mon passe-temps d’aller s’tape
Dieu merci, j’ai une passion qui fait qu’samedi soir
J’vais pas m’finir à l’ecsta
Le rap j’suis malade avec ça
J’ai beaucoup d’gavas qui sont malades avec ça
T’entends un classique, moi une banane de l’espace
Bellek vous allez rouler comme la te-tê à Ned Stark

[Refrain]
Le biff, j’suis malade avec ça
Les tche-bi, j’suis malade avec ça
Le genre qu’t’as du mal a vexer
J’suis pas solo dans ma te-té, j’suis malade avec ça
Le biff, j’suis malade avec ça
Les tche-bi, j’suis malade avec ça
Le genre qu’t’as du mal a vexer
J’suis pas solo dans ma te-té, j’suis malade avec ça
Malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça
Appelez-moi un médecin, j’suis malade avec ça
Malade avec ça

[Couplet 2]
Bizarre personne l'ouvre quand c’est l'gengen qui cause
Un banquier peut faire pire que cent Francis Heaulme
Moi, la musique ; ient-ient, ciste-gro
Dans l’rap y’a plus d’enculés qu’à San Francisco (damn)
La paze à Juicy J, la ganache à Demis Roussos
Bienvenue à Bériz sur Flow
Y’a oisan à teczer, les devises en exergue
Distinguer té-véri du faux, bon
On accouche nos dingueries, le pilon, la péridurale
Baba tu sais d’qui tu rappes, mets-y plus d’âme
Tu voulais l’infini ? Imagine le numéro d’série d’une balle
Des génies du mal, trop d’phases à raffiner
Impossible de compter l’nombre de joints calcinés
Fatigué, dur de m’faire à l’idée qu’faudrait qu’j’te tourne le dos pour que nos deux cœurs soient alignés
Avec ça"
22,2020-01-10,Népal,Lemonade,Adios Bahamas,"[Paroles de ""Lemonade""]

[Refrain]
On fait tout pour se barrer ou pour calmer nos nerfs
On pourrait en parler mais est-c'que ça s'rait honnête ?
J'ai gardé mon carnet avec j'fais ma lemonade
Avec j'fais ma lemonade, avec j'fais ma lemo'-lemo'
On fait tout pour se barrer ou pour calmer nos nerfs
On pourrait en parler mais est-c'que ça s'rait honnête ?
J'ai gardé mon carnet avec j'fais ma lemonade
Avec j'fais ma lemonade, avec j'fais ma lemo'-lemo

[Couplet unique]
Si j'mets des switch c'est pour le bruit, pas pour le score
La larme a marqué sur la feuille, laisse aucune trace sur le corps
Nos âmes sont grises comme la city mais j'souris pour le job
Beau comme surfer une avalanche, on va l'faire pour le sport (comme ça c'est carré)
J'ai tellement tourné en boucle, ça m'a causé du tort
J'y r'pense des fois, la tête en l'air quand j'prends le bon côté du sort
J'me dis qu'une errance n'a pas lieu d'être quand t'appliques ta méthode
Reconnaître ses torts, chaque matin, c'est retour à l'école
Des fois, j'coupe mes émotions, tah liquide de r'froidissement
Toxique comme l'air qu'on respire, m'en veux pas si j'prends mes distances
J'étais dans le flou quand j't'ai suivi du regard, j'me suis montré insistant
T'as bien fait d'prendre la fuite, peu d'choses sont pires que l'indécision
Mais à raison ou à tort, on trouve des compromis
On fait la guerre en étant en accord (lalalalalalalala)
Chaque seconde devient une porte, j'évite la monotonie
J'm'élève pour mieux chuter, mon esprit tourné vers des souvenirs

[Refrain]
On fait tout pour se barrer ou pour calmer nos nerfs
On pourrait en parler mais est-c'que ça s'rait honnête ?
J'ai gardé mon carnet avec j'fais ma lemonade
Avec j'fais ma lemonade, avec j'fais ma lemo'-lemo'
On fait tout pour se barrer ou pour calmer nos nerfs
On pourrait en parler mais est-c'que ça s'rait honnête ?
J'ai gardé mon carnet avec j'fais ma lemonade
Avec j'fais ma lemonade, avec j'fais ma lemo'-lemo"
23,2017-09-21,Népal,Jugements,445e Nuit,"[Paroles de ""Jugements"" ft. 3010]

[Refrain : 3010 & Népal]
On m’a dit une fois, on m’a dit une fois, qu’j’étais condamné
J’ai répondu gars, j’ai répondu gars, t’aimes pas, c’est pareil
Couronne sur nos têtes, couronne sur nos têtes, depuis des années
Ils croient trop en leur jugements, dinguerie, ce-vi j’vais canner
Que tu give a fuck ou pas, c’est la même
P’t-être que Dieu envoie des signaux dans les rêves
J’suis genre eya, eya, eya
J’suis genre eya, eya, eya
Ichi, Ni, San, check

[Couplet 1 : Népal]
J’suis né dans l’14
Si j’meurs juste à côté, c’est la défaite (ouais)
Bloqué dans l’mud, où l’humain a faim et les plaisirs sont toujours tarifés
Ils peuvent s’té-je par la f'nêtre
Si l’baril est gé-char, rien à faire
Ils s’invitent à la fête
L’œil de Sauron s’affole, y’a du shit dans la nacelle
On macère, on a cette foutue faculté
Qui fait qu’on s’bonifie avec le temps ou qu’on fane
Que des choix à cette heure-ci, c’est qu’du get it
Sourd plutôt qu’d’entendre c’que ces cons racontent et leurs faits et gestes
J’taille au Sud d’la constellation d’Orion, transformer l’essai
Costard black, 10 Smith y’a la matrice elle bug
À croire qu’ils sont bons qu’à s’faire écorcher leurs blazes au comptoir du Starbucks (des barres)
Pas d’case neuve (nan, nan)
Si tu fais pas les bails, t’as peur (t'as khaf)
Backpacker mais rajoute un branchement et un canap y’a R
Chaque jour dédié à quitter l’chemin créé par les pairs
Chaque jour à bosser les mêmes moves jusqu’à c’qu’on les perde
Couronne sur la tête promise pour les années à venir mais reflet dans la guillotine
Rouler les dés ricocher retrouver par défaut sa vraie raison d'vivre

[Refrain : 3010]
On m’a dit une fois, on m’a dit une fois, qu’j’étais condamné
J’ai répondu gars, j’ai répondu gars, t’aimes pas, c’est pareil
Couronne sur nos têtes, couronne sur nos têtes, depuis des années
Ils croient trop en leur jugements, dinguerie, ce-vi j’vais canner

[Couplet 2 : 3010]
Vois comment j’dis, j’suis ma propre référence à ma propre punchline
On ne fait que l’taf, on n'écoute pas l’reste
J’suis le pire dans c’game même si l’cœur bat pas
J’envoie cette force, rien d’plus, j’dis pas besoin d’forcer le son leur parle
Bon gré, malgré, le dealer d’heures a de la cons’ pour qu’ils comblent le retard, Seudi

[Outro : Népal & 3010]
Que tu give a fuck ou pas, c’est la même
P’t'être que Dieu envoie des signaux dans les rêves
J’suis genre eya, eya, eya
J’suis genre eya, eya, eya
Que tu give a fuck ou pas, c’est la même
P’t-être que Dieu envoie des signaux dans les rêves
J’suis genre eya, eya, eya
J’suis genre eya, eya, eya"
24,2020-01-10,Népal,Vibe,Adios Bahamas,"[Paroles de ""Vibe"" ft. Sheldon]

[Intro : Népal]
C'est une vibe, elle veut une vibe
C'est une vibe, tu veux une vibe
Tu sais comment ça marche ici on fait nos

[Refrain : Népal]
Si j'y capte une vibe, j'pourrais rester toute la journée au studio
Si j'y capte une vibe, j'me mettrais pas sur autre chose
Si j'y capte une vibe, j'pourrais rester toute la journée sans dispo
Si j'y capte une vibe, j'me mettrais pas sur autre chose

[Pont]
C'est une vibe, elle veut une vibe
C'est une vibe, elle veut une vibe
C'est une vibe, elle veut une vibe
C'est une vibe
Tu sais comment ça s'passe : ici, on fait nos bails

[Couplet 1 : Sheldon]
Toute une nuit passée avec toi me rend stupide
J'sais pas faire semblant d'être quelqu'un d'autre devant une fille
Parler de mes problèmes, c'est un problème mais
Parler de tes projets, c'est un projet
Je sais qu'j't'ai rencontrée avec un ami à moi
Mais impossible de t'partager avec un ami à moi
En fait, depuis tout petit, je te vois
En fait, depuis tout petit, je me noie
Je sais pas danser, j'aime le mouvement
Tu sais jamais quand c'est le bon moment
Après la ligne droite vient le tournant, c'est
À cet instant précis que le décompte commence
J'aurais bien voulu qu'on puisse régler nos horloges
J'aurais bien voulu qu'on puisse régler nos montres
J'aurais bien voulu qu'on puisse régler nos hormones
J'aurais bien voulu qu'on puisse régler nos

[Refrain : Népal]
Si j'y capte une vibe, j'pourrais rester toute la journée au studio
Si j'y capte une vibe, j'me mettrais pas sur autre chose
Si j'y capte une vibe, j'pourrais rester toute la journée sans dispo
Si j'y capte une vibe, j'me mettrais pas sur autre chose

[Post-refrain]
Nah, nah, nah, nah
Nah, nah, nah, nah
Nah, nah, nah, nah
Nah, nah, nah, nah

[Couplet 2 : Népal]
J't'aurais souri à l'ancienne mais bon les temps changent
Échanger un baiser peut devenir motif de vengeance
J'peux pas espérer mieux en masquant mes mauvais penchants
J'me suis coupé tout seul avec une phrase à double tranchant (aïe)
Et tes larmes glissèrent sur l'imperméable
T'es responsable de c'que tu fais mais aussi d'c'que tu fais aps
Les mauvais choix commis, les bons qu'on aurait pu faire
Et la finalité qu'on trouvera surement pas dans l'oseille
Si on est ensemble, c'est pour échanger tout c'qu'on peut
J'suis prêt à t'faire le bien si tu sais où s'trouve ton mieux
Vie en harmonie, en-ble-sem quand on s'ra ridés
D'la musique pour remplir l'âme, un objectif pour la vider
Le système : l'ennemi, j'me bats en étant moi-même en paix
Dans cette folie, échec et victoire deviennent complémentaires
(C'est une vibe, ouais)

[Refrain : Népal]
Si j'y capte une vibe, j'pourrais rester toute la journée au studio
Si j'y capte une vibe, j'me mettrais pas sur autre chose
Si j'y capte une vibe, j'pourrais rester toute la journée sans dispo
Si j'y capte une vibe, j'me mettrais pas sur autre chose

[Post-refrain]
Nah, nah, nah, nah
Nah, nah, nah, nah
Nah, nah, nah, nah
Nah, nah, nah, nah"
25,2020-10-02,Népal,Benji,none,"[Paroles de ""Benji""]

[Intro]
Perdu dans des promesses (promesses)
J'suis pas venu faire des problèmes (problèmes)

[Refrain]
Perdu dans des promesses (promesses), s'il suffisait d'avoir envie ? Non
J'suis pas venu faire des problèmes (problèmes), juste une pile de Benji
Courir pour des lovés (lovés), d'après vous, c'est ça une vie ? Non
Paname side, j'décale et c'est carré, j'décale et c'est carré

[Couplet unique]
J'ai fait six fois l'tour de la villе pour m'assurer qu'j'hallucinais ap
Oublie tous tes flavos d'avant, gros, c'était du cinéma
Survеille ton davos, car des démons veulent ta glande pinéale
J'les entends compter les stacks, redessiner l'Forum des Halles
On va tous caner, Jiminy va juste retarder
Ici, les bâtons qué-blo sur des ambiances de daddy
Oh, j'suis un tarté, yah, et ma white dit :
""J'fonce vers l'infini et Jiminy va juste regarder""
On n'sait plus où donner d'la tête, droivat ou bien schmet
Crois pas qu'tu vas pec', ici, cousin, c'est re-mo ou bien dead
Une journée sur Terre où chacun verra midi à sa f'nêtre
Belek si t'as un grand cœur et l'genou d'un keuf sur la tête (Amen)
Santan Dave, on s'connaît pas mais on s'entendrait sûrement
Paris est maudit, j'crois qu'cette ville a un problème
J'mens quand j'dis qu'j'pourrais enclencher un mouvement rect-di
J'peux pas quitter l'secteur sans une autre forme de procès

[Refrain]
Perdu dans des promesses (perdu dans des promesses), s'il suffisait d'avoir envie ? Non
J'suis pas venu faire des problèmes (j'suis pas venu faire des problèmes), juste une pile de Benji
Courir pour des lovés (courir pour des lovés), d'après vous, c'est ça une vie ? Non
Paname side, j'décale et c'est carré, j'décale et c'est carré (carré)

[Pont]
Branché à la matrix pour faire mon khaliss, j'dois bombarder avant qu'la source ne tarisse, frérot
Remise en question quand tu prends tarif, même nos heal mettent à l'amande vos carry, frérot
Branché à la matrix pour faire mon khaliss, j'dois bombarder avant qu'la source ne tarisse, frérot
Remise en question quand tu prends tarif, même nos heal mettent à l'amande vos carry, frérot

[Refrain]
Perdu dans des promesses (perdu dans des promesses), s'il suffisait d'avoir envie ? non
J'suis pas venu faire des problèmes (j'suis pas venu faire des problèmes), juste une pile de Benji
Courir pour des lovés (courir pour des lovés), d'après vous, c'est ça une vie ? non
Paname side, j'décale et c'est carré, j'décale et c'est carré (han, han)
Perdu dans des promesses (promesses), s'il suffisait d'avoir envie ? non
J'suis pas venu faire des problèmes (problèmes), juste une pile de Benji
Courir pour des lovés (lovés), d'après vous, c'est ça une vie ? non
Paname side, j'décale et c'est carré, j'décale et c'est carré (han, han)"
26,2016-05-30,Népal,YOLO,444 Nuits,"[Paroles de ""YOLO""]

[Couplet 1]
Certaines peuvent être love jusqu'à la mort, tu le remarques à leurs bosses
D'autres sont matrixées jusqu'à donner des noms d'marques à leurs gosses
2016, rien qui fait penser au turf
Intéressées, les maisons d'disques appelèrent mais on nargua leurs offres
Monture au scotch couz', ma dimension est fêlée
Potentiellement dangereux comme une bâche sur le cavu d'une femen
J'reste anonyme gros, j'suis l'anthrax dans un FedEx
Paname c'est la partouze : on s'ravitaille en circuit fermé
Est-ce que tu t'es demandé si c'monde est ieux-sér ?
Regarder ton ordi jusqu'à c'que tes yeuz saignent
Pour une hasba nombreux disent ""Yes Sir""
Combien veulent la paix comme le voulait l'vieux Yasser ?
(Cheh), la mine est acerbe
Et ça changera pas d'l'autre côté d'la A7
Si s'autodétruire c'est un sport, on est des athlètes
On devient millionnaires avec un AdSense, ma le-gueu c'est

[Refrain]
Tu vas faire un move sous beuh,  médite bien
Nos voix résonnent sur plusieurs méridiens
C'est archi claqué d'dire dans un son qu'c'est une drôle d'époque
Mais pour eux Thot c'est une salope, pas un dieu égyptien
On n'est pas conçus pour durer, ouais ouais ouais
On n'est pas conçus pour durer, ma le-gueu
On n'est pas conçus pour durer, ouais ouais ouais
On n'est pas conçus pour durer, ma le-gueu

[Pont]
Et vous êtes en train donc de m'expliquer que tout ceci serait une illusion. Je n'veux pas comprendre, je n'peux pas comprendre, d'où tenez-vous vos informations ? Elles sont erronées. J'n'ai pas pu être aveugle toute ma vie, c'n'est pas physiquement possible

[Couplet 2]
Yo, des jeunes qui s'crashent bourrés en caisse criant : ""Yolo""
Tu peux sauver la terre, tu peux aussi ssep' dans un violon
J'connais bien la raison d'ces insomnies passées au studio
Et toutes ces fois où j'suis monté sur scène pour faire le gol-mon
Si la vie est une chienne, certains restent puceaux par choix
D'autres auraient bien voulu tremper leur bout
Une pensée à ceux qui la dogguinent du lundi au lundi sans gâter celle des autres
Au final, si t'es malheureux ça reste de ta faute
J'voulais rien gâter à la base
Pas être de ce rappeurs fly à la barre
Convaincus avec 3 poils à la barbe
Mes camarades s'en battent la race de leurs vieilles mascarades
J'arrive en balle et rien qu'ça pique comme du me-sper sur l'mascara
C'est vrai qu'c'est plus facile de s'gonfler quand t'es vide
Screts-di on est vifs, leurs squettes-di on évite
Pour du blé ils seraient capable d'refaire une chansons sur la Navy
Rien à battre que tu traînes le long du bât' comme Neville

[Outro]
Est-ce que tu t'es demandé si c'monde est ieux-sér ?
Regarder ton ordi jusqu'à c'que tes yeuz saignent
Pour une hasba nombreux disent ""Yes Sir""
Combien veulent la paix comme le voulait l'vieux Yasser ?
On n'est pas conçus pour durer, ouais ouais ouais"
27,2016-07-04,Népal,Faute de time,444 Nuits,"[Paroles de ""Faute de time""]

[Intro]
— Inspecteur ! Et si je vous disais que Dieu et le Diable ont fait un pari, une sorte de pari permanent pour gagner les âmes de toute l'humanité ?
— Je vous dirais de changer de traitement
— Faites comme si. Aucun contact direct avec les humains, ça serait la règle, juste les influencer et voir qui gagne. Nous naissons capable de choses ignobles, mais il arrive parfois qu'il se produise l'événement qui nous donne juste le petit coup de pouce qu'il nous fallait
— Et bien tout ça est extrêmement instructif mais, je ne crois pas au diable...
— Vous devriez, lui, il croit en vous...
7.5

[Couplet 1]
J'me sens d'humeur ironique comme un gros porc en survet'
Qui connaît toujours pas la raison d'sa venue sur terre
J'évite les gens suspects, regard aligné sur l'tec
Ils ont des races de c'lards-vi à s'ler-bran dans des bulles d'airs
J'bute le suspense
On va envoyer des EPs jusqu'à plus d'sp....
Ils pourront avaler, bouturer les llules-ce
Créer des stres-mon comme Cell
Cuisiner nos ulcères, on a su l'faire
J'me la bute depuis mes 16 ans, ça m'a grillé l'crâne
Tu peux golri, m'haïr, m'admirer, avoir pitié, parler mal de oim
Mais sûrement pas m'prendre en exemple
Le climat devient blessant
Mais on a grandi d'dans donc on s'concentre
J'me fie peu aux gens
Tout simplement parce qu'ils aiment pas les vainqueurs
Autant qu'ils apprécient les perdants, hey

[Refrain]
Gros, j'suis au top de mon crime
Tout dans mon crime, de quoi m'délester d'ma maille
Gros j'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Gros, j'suis au top de mon crime
Tout dans mon crime, de quoi m'délester d'ma maille
Gros j'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Àl faute de time, àl faute de time
J'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Àl faute de time, àl faute de time
J'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time

[Couplet 2]
On s'envole depuis mes 15 berges, de faire la resta rien n'sert
D'ailleurs même de mettre mon grain d'sel
Phrases et camo bien scred, gros jamais en chien d'16
IIs sont déjà battus même sans les cinq sets
Et ça revient comme un cancer
Sortez la codé', sortez les Tranxenes
J'peux déguster mon Sancerre
Les pluies acides me transperceront, gros, à l'horizon y'a rien d'space
T'as toujours pas cé-per, autant t'...
Gros, ces conneries c'est une perte de temps
C'est comme passer sa vie à fumer des joints
En regardant des documentaires sur les guerres de gangs
Bats la race c'est qui qu'on d'mande
Faut qu'tu t'rappelles que ça kick dans l'centre
Poto on deale nos chances
Pendant qu'ils s'regardent marcher comme des gosses en chaussures clignotantes

[Refrain]
Gros, j'suis au top de mon crime
Tout dans mon crime, de quoi m'délester d'ma maille
Gros j'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Gros, j'suis au top de mon crime
Tout dans mon crime, de quoi m'délester d'ma maille
Gros j'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Àl faute de time, àl faute de time
J'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time
Àl faute de time, àl faute de time
J'me torture, je dors plus, je sors plus, j'me drogue plus
Les grosses putes sont àl faute de time, time"
28,2015-02-05,Népal,Fugu,none,"[Paroles de ""Fugu""]

[Intro]
Yo
Check

[Couplet unique]
Aujourd'hui la fission nucléaire, ça sert pas qu'à faire des armes
Comme Billie Holiday, j'vois des fruits chelous sur les arbres
C'est effarant, t'as tes parents mais tu fais c'rap
Écailles sur les phalanges y'a qu'des des varans donc j'vais pas dire y'a pas de lézard
Essaye de changer l'angle de caméra
C'est l'produit, nous, pas les blagues de Kad Merad qui font qu'on s'casse des barres
Si le plan se déroule direction Nouméa
En attendant j'ride la Cefran
Là ils attendent le new Merah en casquette New Era
J'vise le panier avec la planche parce que c'est chaud l'dunk
J'crache mes fantômes sur l'track comme Gotrunk
Bon client à partir du moment où ça cause gun ou grosse skunk
Collé au pied du mur comme poster
Peut être une destinée de merde à essuyer les coups d'blues les fausses peurs
Dans le fond du toaster on fait peau neuve
Auteur, mentalité FUBU, j'y vais tout doux
Vous, vous faites la boule comme des Fugu
Bientôt sept mille ans d'histoires à répéter des cycles
Penser, croire, voir de quoi interpréter les signes
On est combien de mecs en chien prêts à escalader les cimes ?
Nombreux comme les Chen, les Coulibaly et les Singh
Vous feriez tout pour l'espèce, on m'répond yes yes
Des humains deuss-deuss donc j'finirais d'la baise, laisse
Chaque couplet c'est PLM, mets les MC en PLS
On a l'allonge d'un SLR, en face y a plus qu'des CRS

Putain"
29,2018-09-23,Népal,150CC,#KKSHISENSE8,"[Intro]
May I have your attention please ?

[Refrain : Népal]
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Mais pour quoi faire ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
T'aimerais que l'monde sache c'qu'y'a dans ta tête
(Okay, let's get it)

[Couplet 1 : Népal]
Au-d'ssus des cendres comme Pain
Au fond du trou, j'veux pas y redescendre comme Bane
Captain Morgan, Clan Campbell
Merci Dieu car j'suis pas d'ceux qui ont une crampe comme
Merci encore car j'bois peu souvent (merci)
Pour mes redoublants qui marchent avec la beuh sous l'ventre
On n'est pas rentrés dans leur normes, c'était un jeu saoulant
Y'a que sous forme de réponse que leur droit ch'min s'avère ressourçant
L'échec banni d'nos têtes, c'est plus pratique de l'ue-t
Dans une matrix de ... ou tout autre type de wers
Cent millions d'berry sur Dassault et Marine le Pen
On s'résume pas qu'à des drapeaux comme en Afrique de l'Ouest
Yes, remets ça en plus rapide (hey)
Pendant qu'les rappeurs trouvent des nouvelles façons d'dire qu'ils fument d'la weed
Bosse les titres, le public s'ra jamais unanime mais en concert ils m'backent comme si toutes les lines c'était
La chance, la mort y'a tout chez l'buraliste
Au-d'ssus d'la limite depuis lunatique, j'me compare pas à Lunatic
Faut dire un truc si y'a un truc à dire
Si tu veux rattraper mon run, j't'ai laissé un fantôme sur la piste
Jusqu'à perdre contact, jusqu'à dead, pas qu’nos proches khalass la pierre tombale
Quoi d'autre ?
7-5, Sierra, Echo, double, Sierra, Kilo, Lima Makaveli, check, I’m out

[Refrain : Népal]
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Mais pour quoi faire ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
T'aimerais que l'monde sache c'qu'y'a dans ta tête
(Okay, let's get it)

[Couplet 2 : Népal]
Center side jusqu'au east side
Paname el mundo pas besoin d'visa
Tu vas à Center Park pour un dickslap
P'tit slam, motherfucka, j'fais mes petites salles
Trix-ma, c'est la trix-ma
Assumer ses épaules pas jouer la tigue-fa
Plaquer des tiques-fana, pas la tique-tac, comme R.M.A.K
J’ai l’palpitant qui fait tic-tac
Sous pakistan, ça fait des zigzags
Peuf peuf 'vec un sourire qui fait 6'9
Kit-kat, broco broco, une équipe paz
West Ham, Bromwich, que des flip-flap
Quatre falla dans une pita
Quatre clopes et j'me balade dans un clic-clac
Cadavérique pas encore l'épitaphe
Tic-tac, j’tire en l’air et toutes les cliques savent

[Refrain : Népal]
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Mais pour quoi faire ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
Pour quoi faire homie ?
T'aimerais que l'monde sache c'qu'y'a dans ta tête
T'aimerais que l'monde sache c'qu'y'a dans ta tête
(Okay, let's get it)

[Couplet 3 : Gracy Hopkins]
Got some people in my back cause I wanted to
I mean far behind me, it's why they never saw my face, and I can put it on Lee
Why they always doubt and never recognize me in the streets
I ain't not the type of show-bizness mothafucka
I ain't shaking hands that's already shaking
Dedication to the people that are down to fake it
But I ain't faking with nobody if I wanna make it, I'm on fire
While they got jetpacks, I'm getting late cause of combined jet lags
Mean I got a bigger plane than... (wait..)
Mean I got a bigger plan than music
I'm taking my time when I put in work, ain't rushing no
English-speaking French dude going national
Representing Paris like in Jersey, so irrational
Representing Paris with the jersey, but I'm Seven-Seven, I'm the risk on sea
It's always going south when I'm here, I'm the North and
I'm guiding all these people to the peace, I'm the morphine
You feeling all that strength that I'm getting without forcing
File avant que ça te blesse, belek au mec qui vient de Torcy"
30,2018-09-23,Népal,Cloud8,#KKSHISENSE8,"[Paroles de ""Cloud8""]

[Couplet unique]
J'me sens jeune et vieux en même temps
Si j'pense comme un gosse et décide comme un adulte
Ça risque fort d'm'éviter deux-trois embêtements
Quand j'marche sous la Lune même la réalité oserait pas imiter l'illusion qu'sont mes sentiments
Trois centimes en poche, j'ai les clavés d'la ville, t'es dans l'genjustu suis seulement
Pas d'ceux qui passent leur vie sous l'serment, celui qu't'écoutes, c'est mort
Les mêmes gommettes au plafond depuis qu'j'ai sept piges
Maintenant elles s'allument plus
Des idées, y'en a v'là l'surplus
Quand j'ai du biff de tec', j'agis comme si j'avais pas une thune, ba-Ba-baby
Quand on s'ra cernés comme les anneaux d'Jupiter
On pourra décal' d'ici trouver l'univers
Mais en attendant fuck dans la breuch' y a l'wifi et d'la kush
Reste loin des idées suicidaires
L'impression qu'ton visage s'déforme sous des tensions étranges
Quand j't'ai dit qu'le temps passait lentement, tu l'as pris comme un reproche
Bah ouais, l'temps passe comme les anges
J'vais m'faire une place dans ton oubli
Y'a plus l'odeur de clope et les minutes sont réelles
La vibe mélan ça fédère
J'garde le sel de mes larmes ça cristallise mon ADN, mo'afucka' bounce

[Outro]
Hey, hey"
31,2017-09-21,Népal,Love64,445e Nuit,"[Paroles de ""Love64""]

[Intro]
Wesh
Alors c'est comment ?
Nan, c'est trop
J'sais pas, gros, j'sais pas

[Couplet unique]
Avec les tasses-pé, j’ai pris l’option fuite
Toi, t’es dans la rue avec ta go, tu la couves comme un demi loxon d’weed
Tu paies des cocktails et des portions d’fruits
Entre couilles, t’es vulgaire puis t’es plus l’même quand tu décroches ton Bouygues (allô ?)
Nah ça c’est classique, on va t’revoir dans six mois
Faudra pas nous parler d’astrologie chinoise, mon gros
Mais bon, j’avoue qu’c’est triste
Cette putain d’fatalité qui fait qu’deux cœurs sont alignés, qu’si l’un deux tourne le dos
Rien n’sert de courir, c’est dur, la relation devient pourrie
Elle en veut toujours plus plus comme Metro Boomin
T’as tej les photos sur l’portable, t’as vidé l’photobooth
Au final, c’est pas si dur les souvenirs
TBT ton language soutenu
T’avais l’air bête et elle t’a pété grand sourire mais y’a un shlass sous l’pull
Eh ouais, ça sert à R mais t’as quand même couru
Mais t’as quand même couru
Elle s’habillait pas comme une tchoin parce qu’elle sait bien qu’elle est grave fraîche toute nue
Tu peux même pas la traiter d'pute
Sale...

[Outro]
*bip*
*bip*
*bip*
Messagerie Orange bonjour, la personne que vous essayez de joindre n'est pas disponible. Veuillez laisser votre message après le bip
*bip*"
32,2020-01-10,Népal,Opening,Adios Bahamas,"[Paroles de ""Opening""]

[Interlude : Voix parlée]
Kako no episōdo no matome: Saigo no himitsu ni mo oeta Neparu wa hizashi no tsuyoi mujintō de jibun no kanjō o jōka sa senagara, ningen no arikata wo reisei na kangae, yume no yōna yoka wo sumashiteita
Shikashi, sonna dō demo yoi jōkyō no nakade sai, kokoro no toko ga fukai tokoro ni kyōfu ga naika ? Sono kyōfu ga hontōni yarubeki koto o jama shite inai ka ?
Tada sekai ga horobite iku no bōkan shite irunara, tatoe machigatta michideatte mo susumubeki janai noda
Umi wo mitsume na gara futatabi ugoki dasu no wa imada to omota, Neparu ga atarashii bōken Adiosu Bahama"
